,D_Emis_transport,D_Coal_Cons,D_NatGas_Cons,D_Petrol_Cons
LA '94-95,1,0,2,0
MA '94-95,2,2,2,0
MD '94-95,2,2,2,0
ME '94-95,0,0,2,0
MI '94-95,2,0,2,2
MN '94-95,2,2,2,2
MO '94-95,2,2,2,2
MS '94-95,2,2,2,0
MT '94-95,2,0,2,2
NC '94-95,2,2,2,2
ND '94-95,1,0,2,0
NE '94-95,2,2,2,2
NH '94-95,2,2,2,0
NJ '94-95,2,2,2,0
NM '94-95,0,0,0,0
NV '94-95,2,0,2,2
NY '94-95,2,0,2,0
OH '94-95,2,0,2,2
OK '94-95,0,2,0,0
OR '94-95,0,0,0,0
PA '94-95,2,2,2,0
RI '94-95,2,0,0,0
SC '94-95,1,0,2,2
SD '94-95,2,0,2,2
TN '94-95,2,2,2,2
TX '94-95,0,0,2,0
UT '94-95,2,0,2,2
VA '94-95,2,2,2,0
VT '94-95,2,0,0,0
WI '94-95,2,2,2,2
WV '94-95,2,0,2,0
WY '94-95,2,0,0,2
AK '95-96,0,0,2,2
AL '95-96,0,2,2,2
AR '95-96,2,2,2,2
AZ '95-96,2,0,0,2
CA '95-96,2,0,0,2
CO '95-96,2,2,2,2
CT '95-96,2,2,0,2
DC '95-96,0,2,2,0
DE '95-96,2,0,0,2
FL '95-96,2,2,0,2
GA '95-96,2,0,2,2
HI '95-96,0,2,0,0
IA '95-96,2,2,2,2
ID '95-96,2,0,2,2
IL '95-96,2,2,2,2
IN '95-96,0,2,2,2
KS '95-96,0,2,0,2
KY '95-96,0,2,2,0
LA '95-96,2,0,0,2
MA '95-96,2,2,0,2
MD '95-96,2,2,2,2
ME '95-96,2,0,2,2
MI '95-96,2,2,2,2
MN '95-96,2,2,2,2
MO '95-96,2,2,2,2
MS '95-96,2,2,0,2
MT '95-96,0,0,2,2
NC '95-96,2,2,2,2
ND '95-96,2,2,2,2
NE '95-96,2,0,2,2
NH '95-96,2,2,0,2
NJ '95-96,0,2,2,0
NM '95-96,1,2,2,2
NV '95-96,2,2,2,2
NY '95-96,2,2,0,2
OH '95-96,2,2,2,2
OK '95-96,2,2,2,2
OR '95-96,2,2,2,2
PA '95-96,0,2,2,0
RI '95-96,2,2,2,0
SC '95-96,2,2,0,2
SD '95-96,1,0,2,2
TN '95-96,2,0,2,2
TX '95-96,2,2,2,2
UT '95-96,2,0,2,2
VA '95-96,2,2,0,2
VT '95-96,2,0,2,2
WI '95-96,0,2,2,2
WV '95-96,0,2,2,0
WY '95-96,2,2,2,2
AK '96-97,2,2,0,2
AL '96-97,0,0,0,0
AR '96-97,2,0,0,2
AZ '96-97,1,2,2,2
CA '96-97,0,2,2,0
CO '96-97,0,2,0,0
CT '96-97,2,2,2,2
DC '96-97,2,2,2,0
DE '96-97,0,0,0,0
FL '96-97,2,2,0,2
GA '96-97,0,2,0,0
HI '96-97,0,2,0,0
IA '96-97,0,2,0,0
ID '96-97,2,0,2,0
IL '96-97,2,2,0,0
IN '96-97,1,2,0,2
KS '96-97,0,0,0,2
KY '96-97,2,2,0,2
LA '96-97,0,2,2,0
MA '96-97,2,2,2,2
MD '96-97,2,0,2,2
ME '96-97,2,0,2,2
MI '96-97,2,0,0,2
MN '96-97,0,0,0,0
MO '96-97,2,2,0,0
MS '96-97,2,2,0,2
MT '96-97,2,2,0,0
NC '96-97,2,2,2,2
ND '96-97,2,0,2,2
NE '96-97,2,2,0,0
NH '96-97,2,2,2,2
NJ '96-97,2,2,2,2
NM '96-97,2,2,2,2
NV '96-97,1,0,2,0
NY '96-97,0,2,2,0
OH '96-97,2,0,0,2
OK '96-97,0,2,0,0
OR '96-97,2,0,2,0
PA '96-97,2,2,0,2
RI '96-97,2,0,0,2
SC '96-97,2,2,2,2
SD '96-97,0,2,0,0
TN '96-97,2,2,2,2
TX '96-97,2,2,0,2
UT '96-97,2,2,2,2
VA '96-97,2,2,0,2
VT '96-97,0,2,2,2
WI '96-97,2,2,0,2
WV '96-97,2,2,2,2
WY '96-97,2,0,2,0
AK '97-98,2,2,2,2
AL '97-98,2,0,2,0
AR '97-98,2,2,2,2
AZ '97-98,2,2,2,2
CA '97-98,2,0,2,2
