,D_Emis,D_Coal_Cons,D_NatGas_Cons,D_Petrol_Cons
MA '00-01,0,0,2,2
MD '00-01,0,2,0,2
ME '00-01,2,0,2,0
MI '00-01,0,0,0,0
MN '00-01,0,0,0,0
MO '00-01,2,2,0,2
MS '00-01,2,2,2,2
MT '00-01,2,2,0,0
NC '00-01,0,0,0,0
ND '00-01,2,0,2,2
NE '00-01,2,2,0,0
NH '00-01,0,0,0,0
NJ '00-01,0,0,0,2
NM '00-01,2,0,2,2
NV '00-01,0,0,0,2
NY '00-01,0,0,0,2
OH '00-01,0,0,0,2
OK '00-01,2,0,0,2
OR '00-01,0,2,2,0
PA '00-01,0,0,0,2
RI '00-01,2,0,2,2
SC '00-01,0,0,0,2
SD '00-01,0,0,0,0
TN '00-01,0,0,0,2
TX '00-01,0,0,0,2
UT '00-01,0,0,0,0
VA '00-01,0,0,0,2
VT '00-01,0,2,0,2
WI '00-01,0,0,0,2
WV '00-01,0,0,0,2
WY '00-01,0,0,0,2
AK '01-02,2,2,2,0
AL '01-02,2,2,2,2
AR '01-02,0,0,2,2
AZ '01-02,0,0,2,2
CA '01-02,0,2,0,2
CO '01-02,0,0,0,0
CT '01-02,0,0,2,0
DC '01-02,2,0,2,0
DE '01-02,0,2,2,0
FL '01-02,2,0,2,0
GA '01-02,2,2,2,0
HI '01-02,2,0,0,2
IA '01-02,2,0,2,2
ID '01-02,0,0,0,2
IL '01-02,2,2,2,0
IN '01-02,2,0,2,2
KS '01-02,2,2,2,0
KY '01-02,2,0,2,2
LA '01-02,2,0,2,2
MA '01-02,2,2,2,0
MD '01-02,0,2,2,0
ME '01-02,2,2,2,2
MI '01-02,0,0,2,2
MN '01-02,2,2,2,0
MO '01-02,2,2,0,2
MS '01-02,0,0,2,0
MT '01-02,0,0,2,2
NC '01-02,2,2,2,0
ND '01-02,0,2,2,0
NE '01-02,0,0,0,2
NH '01-02,2,0,2,2
NJ '01-02,2,0,2,0
NM '01-02,0,0,0,2
NV '01-02,0,0,0,0
NY '01-02,0,0,2,0
OH '01-02,2,2,2,2
OK '01-02,2,2,2,0
OR '01-02,0,0,0,2
PA '01-02,2,2,2,0
